Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,12.140000,12.350000,12.140000,12.250000,10.260236,41645200
2012-01-04,12.255000,12.375000,12.190000,12.365000,10.356558,34687800
2012-01-05,12.340000,12.515000,12.245000,12.475000,10.448689,44687000
2012-01-06,12.450000,12.515000,12.290000,12.345000,10.339806,19228000
2012-01-09,12.430000,12.685000,12.425000,12.605000,10.557573,39423000
2012-01-10,12.770000,12.850000,12.665000,12.700000,10.637136,38885200
2012-01-11,12.695000,12.800000,12.605000,12.710000,10.645515,23534800
2012-01-12,12.720000,12.815000,12.655000,12.750000,10.679020,22122800
2012-01-13,12.710000,12.745000,12.575000,12.690000,10.628766,20122400
2012-01-17,12.805000,12.925000,12.715000,12.770000,10.695772,23967800
2012-01-18,12.765000,12.915000,12.655000,12.860000,10.771152,29457200
2012-01-19,12.860000,12.970000,12.830000,12.935000,10.833972,20073800
2012-01-20,12.940000,13.055000,12.875000,13.035000,10.917727,30587600
2012-01-23,12.965000,13.160000,12.890000,12.965000,10.859099,27095600
2012-01-24,12.905000,12.950000,12.800000,12.930000,10.829781,20047000
2012-01-25,12.880000,13.110000,12.805000,13.060000,10.938667,36182200
2012-01-26,13.170000,13.405000,13.080000,13.155000,11.018239,37100200
2012-01-27,13.155000,13.295000,13.100000,13.165000,11.026612,28733600
2012-01-30,13.100000,13.280000,12.920000,13.180000,11.039174,36507400
2012-01-31,13.250000,13.295000,13.130000,13.290000,11.131308,32184800
2012-02-01,13.360000,13.585000,13.285000,13.425000,11.244382,32168200
2012-02-02,13.400000,13.490000,13.325000,13.345000,11.177374,34668800
2012-02-03,13.485000,13.590000,13.450000,13.575000,11.370016,27271400
2012-02-06,13.545000,13.590000,13.470000,13.545000,11.344889,25879600
2012-02-07,13.500000,13.575000,13.380000,13.545000,11.344889,24368800
2012-02-08,13.525000,13.645000,13.420000,13.625000,11.411891,25437200
2012-02-09,13.635000,13.750000,13.555000,13.730000,11.499838,27902000
2012-02-10,13.630000,13.675000,13.500000,13.590000,11.382577,21410400
2012-02-13,13.695000,13.760000,13.635000,13.705000,11.478900,16057000
2012-02-14,13.610000,13.680000,13.465000,13.625000,11.411891,33453400
2012-02-15,14.490000,14.525000,14.150000,14.260000,11.943748,70532200
2012-02-16,14.360000,14.400000,14.195000,14.325000,11.998191,39917200
2012-02-17,14.250000,14.635000,14.200000,14.585000,12.215964,47056400
2012-02-21,14.555000,14.585000,14.455000,14.535000,12.174082,28840400
2012-02-22,14.485000,14.645000,14.410000,14.640000,12.262028,42155200
2012-02-23,14.615000,14.915000,14.590000,14.905000,12.483982,40036800
2012-02-24,14.960000,14.960000,14.525000,14.595000,12.224336,32293400
2012-02-27,14.455000,14.695000,14.450000,14.595000,12.224336,24301200
2012-02-28,14.600000,14.695000,14.520000,14.685000,12.299718,27391800
2012-02-29,14.700000,14.775000,14.635000,14.705000,12.316469,34100800
2012-03-01,14.705000,14.820000,14.645000,14.725000,12.333220,26189600
2012-03-02,14.680000,14.805000,14.540000,14.620000,12.245276,22269800
2012-03-05,14.590000,14.610000,14.405000,14.550000,12.186644,26689200
2012-03-06,14.425000,14.580000,14.360000,14.460000,12.111266,28928600
2012-03-07,14.480000,14.660000,14.400000,14.620000,12.245276,25720400
2012-03-08,14.720000,14.875000,14.695000,14.810000,12.404418,20373400
2012-03-09,14.905000,14.930000,14.840000,14.920000,12.496547,18266600
2012-03-12,14.845000,14.925000,14.775000,14.805000,12.400227,17551200
2012-03-13,14.915000,15.025000,14.825000,15.020000,12.580306,22979000
2012-03-14,15.000000,15.000000,14.860000,14.895000,12.475609,22330800
2012-03-15,14.890000,14.945000,14.710000,14.900000,12.479795,22826200
2012-03-16,14.865000,14.915000,14.700000,14.750000,12.354160,41784200
2012-03-19,14.680000,14.990000,14.635000,14.930000,12.504922,19612200
2012-03-20,14.855000,14.970000,14.725000,14.885000,12.467230,20913400
2012-03-21,14.885000,14.950000,14.765000,14.855000,12.442107,22079800
2012-03-22,14.780000,14.950000,14.765000,14.945000,12.517486,24280600
2012-03-23,14.970000,15.000000,14.820000,14.995000,12.559364,16772000
2012-03-26,15.045000,15.195000,14.975000,15.175000,12.710129,27013400
2012-03-27,15.135000,15.205000,15.070000,15.085000,12.634746,23676400
2012-03-28,15.025000,15.100000,14.910000,14.960000,12.530049,27187000
2012-03-29,14.860000,14.930000,14.750000,14.915000,12.492360,24489000
2012-03-30,14.995000,15.025000,14.865000,15.005000,12.567742,19683400
2012-04-02,14.875000,15.075000,14.785000,15.025000,12.653215,23701200
2012-04-03,14.920000,14.970000,14.720000,14.830000,12.488999,25682000
2012-04-04,14.750000,14.785000,14.545000,14.660000,12.345837,22310400
2012-04-05,14.595000,14.785000,14.540000,14.780000,12.446892,22579000
2012-04-09,14.565000,14.715000,14.505000,14.665000,12.350045,20943400
2012-04-10,14.590000,14.610000,14.270000,14.325000,12.063716,24850600
2012-04-11,14.435000,14.540000,14.365000,14.490000,12.202670,18232400
2012-04-12,14.525000,14.885000,14.475000,14.840000,12.497420,28959800
2012-04-13,14.820000,14.890000,14.740000,14.750000,12.421629,23159200
2012-04-16,14.790000,14.920000,14.745000,14.885000,12.535317,18301600
2012-04-17,14.940000,15.095000,14.855000,15.045000,12.670059,17595400
2012-04-18,14.970000,15.015000,14.900000,14.930000,12.573214,18151600
2012-04-19,14.845000,15.025000,14.710000,14.740000,12.413207,23189200
2012-04-20,14.775000,14.880000,14.710000,14.725000,12.400575,28171200
2012-04-23,14.640000,14.640000,14.425000,14.520000,12.227939,29745400
2012-04-24,14.590000,14.750000,14.565000,14.675000,12.358471,23628400
2012-04-25,14.800000,14.870000,14.690000,14.825000,12.484789,21968000
2012-04-26,14.760000,15.170000,14.755000,15.120000,12.733223,36576800
2012-04-27,15.145000,15.220000,14.945000,15.140000,12.750067,29201000
2012-04-30,15.105000,15.230000,15.085000,15.175000,12.779539,17278000
2012-05-01,15.140000,15.440000,15.130000,15.300000,12.884807,43653800
