Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,108.099998,109.139999,107.730003,108.970001,107.654343,9723500
2019-01-03,108.480003,108.650002,105.940002,106.330002,105.046211,10594700
2019-01-04,107.940002,110.750000,107.250000,109.610001,108.286606,10122800
2019-01-07,109.910004,111.400002,109.300003,110.559998,109.225136,6714700
2019-01-08,111.800003,112.559998,111.169998,111.419998,110.074753,8730700
2019-01-09,111.800003,112.800003,111.559998,112.669998,111.309662,5931900
2019-01-10,111.989998,112.910004,111.500000,112.800003,111.438095,6160100
2019-01-11,112.180000,112.919998,111.730003,112.650002,111.289909,4819100
2019-01-14,111.650002,112.699997,111.430000,112.419998,111.062683,6980600
2019-01-15,112.300003,113.180000,110.610001,111.760002,110.410652,9800900
2019-01-16,111.449997,112.010002,110.809998,110.910004,109.570915,5899900
2019-01-17,110.720001,111.260002,110.160004,111.010002,109.669708,6392000
2019-01-18,111.860001,111.930000,110.830002,111.040001,109.699348,8554700
2019-01-22,110.620003,111.330002,109.750000,110.599998,109.264656,6986700
2019-01-23,111.190002,111.839996,110.000000,111.120003,109.778381,6845600
2019-01-24,111.000000,111.110001,109.930000,110.550003,109.215263,6716800
2019-01-25,111.470001,111.500000,110.660004,111.089996,109.748734,5706900
2019-01-28,110.760002,110.989998,109.949997,110.809998,109.472115,6178800
2019-01-29,110.650002,110.930000,110.000000,110.900002,109.561035,5253700
2019-01-30,110.300003,110.580002,108.959999,110.129997,108.800331,7853800
2019-01-31,110.099998,111.540001,110.010002,111.519997,110.173546,8351600
2019-02-01,111.970001,112.050003,110.930000,111.300003,109.956207,6557700
2019-02-04,111.410004,111.980003,110.680000,111.800003,110.450172,7037000
2019-02-05,112.019997,112.739998,111.449997,112.660004,111.299789,13619800
2019-02-06,113.849998,113.919998,111.070000,111.410004,110.064880,14229000
2019-02-07,111.050003,111.110001,109.809998,110.949997,109.610420,8658100
2019-02-08,110.459999,111.540001,110.059998,111.510002,110.163673,6395500
2019-02-11,111.769997,111.809998,109.250000,109.440002,108.118668,11086400
2019-02-12,110.209999,110.830002,109.150002,109.199997,107.881554,7610200
2019-02-13,109.239998,110.480003,109.230003,110.199997,108.869476,6919700
2019-02-14,109.849998,111.500000,109.540001,110.660004,109.323929,6324300
2019-02-15,111.400002,112.629997,111.029999,112.589996,111.230621,8197300
2019-02-19,112.910004,113.769997,112.830002,113.510002,112.139519,8169600
2019-02-20,113.599998,114.089996,113.290001,113.680000,112.307465,7081500
2019-02-21,113.400002,114.540001,112.870003,114.290001,112.910103,9480100
2019-02-22,114.629997,115.769997,113.949997,115.250000,113.858513,8734700
2019-02-25,115.620003,115.800003,113.459999,113.589996,112.218552,9327700
2019-02-26,113.650002,114.010002,112.849998,113.500000,112.129639,8956000
2019-02-27,113.099998,113.510002,112.459999,112.779999,111.418335,7249500
2019-02-28,112.900002,113.430000,112.750000,112.839996,111.477608,6716700
2019-03-01,113.449997,114.440002,113.449997,114.010002,112.633484,6996900
2019-03-04,114.419998,114.419998,113.089996,114.330002,112.949623,6015000
2019-03-05,114.230003,114.540001,113.760002,114.000000,112.623604,5225100
2019-03-06,114.000000,115.050003,114.000000,114.849998,113.463341,7352800
2019-03-07,114.849998,114.900002,113.470001,114.010002,112.633484,6324000
2019-03-08,113.459999,113.839996,112.900002,113.809998,112.435898,6549100
2019-03-11,114.040001,115.000000,114.029999,114.750000,113.364548,6952700
2019-03-12,114.720001,115.300003,114.040001,114.730003,113.344795,9920300
2019-03-13,114.839996,114.849998,113.720001,114.089996,112.712509,17994500
2019-03-14,114.120003,114.769997,113.930000,114.480003,113.097816,17409600
2019-03-15,114.500000,115.480003,113.680000,114.959999,113.572014,14932700
2019-03-18,113.029999,114.000000,112.459999,113.120003,111.754234,21769800
2019-03-19,112.949997,113.709999,109.800003,110.000000,108.671898,45384400
2019-03-20,110.309998,110.879997,108.050003,109.989998,108.662018,35588700
2019-03-21,110.099998,110.150002,108.370003,108.660004,107.348083,27438900
2019-03-22,108.330002,109.000000,107.510002,108.230003,106.923279,24133800
2019-03-25,108.489998,109.070000,107.320000,107.790001,106.488586,18187500
2019-03-26,108.400002,110.339996,108.269997,110.139999,108.810211,16693100
2019-03-27,110.449997,111.089996,109.730003,110.279999,108.948517,10794800
